# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_1.csv
# diagnostic_file=stan_diagnostics/LV_treatment_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
265.88,0.994451,0.00366694,6,79,0,-260.191,0.202258,0.580006,-2.03807,7.51033,8.22558,-4.13708,-3.11132,8.76308,9.57242,0.274272,-0.846875,0.655884,0.47241,-0.496872,-1.90888,-1.25884,-1.94423,0.823252,64.9431,9.87954,-9.94536,-81.1499,97.0138,-14.8056,45.238,-37.2829,-212.565
265.647,0.999247,0.00594872,4,15,0,-263.995,0.217355,0.572202,-2.04419,7.5427,8.13145,-4.10309,-3.09333,8.73501,9.57339,0.103661,0.761454,-0.303695,-1.25557,0.216463,-0.261517,0.963131,-0.00739845,-0.0317107,74.9839,20.4951,-12.3516,-14.2084,-71.764,-5.90195,114.678,-44.2533,-220.137
269.206,0.893219,0.00969484,5,47,0,-263.676,0.173762,0.449793,-2.01113,7.54062,8.15644,-4.16226,-3.13217,8.70971,9.58788,-1.62026,1.29925,-0.591135,0.211027,1.91245,1.23895,-0.723025,0.67843,0.420284,10.0354,-2.45988,4.17362,-3.69541,-18.7432,-2.22723,-81.6724,-12.0899,241.85
269.656,0.265997,0.01242,2,7,0,-265.484,0.163661,0.474733,-2.00985,7.52705,8.15521,-4.15228,-3.11067,8.70782,9.57169,0.601362,-1.95062,-0.0712957,1.05482,-0.0558337,-0.752051,-1.56502,0.199644,-0.0434774,-34.1299,9.24101,5.10397,-6.01098,-24.8855,8.33498,26.679,7.66138,-216.977
264.786,0.968313,0.00399066,5,47,0,-259.284,0.107276,0.24348,-1.98097,7.56051,8.14149,-4.29714,-3.10396,8.65778,9.57794,1.22361,-1.40687,0.0283973,-1.57576,-0.924814,-1.52257,0.19855,-0.696661,-1.16069,-71.3333,-26.6203,5.62988,50.2994,-9.25798,3.73928,110.293,18.5271,86.4481
268.217,0.965976,0.0060363,5,63,0,-256.525,0.137115,0.477749,-1.9236,7.52695,8.18007,-4.17796,-3.11922,8.67935,9.58277,-0.886088,-3.43055,0.2196,-0.659326,0.0243842,-1.83935,-2.58413,-0.439504,-0.304216,-56.0546,1.14758,31.2907,-1.22653,18.5973,10.2947,-6.05069,14.8814,91.9405
268.74,0.963339,0.00903892,3,15,0,-265.452,0.142993,0.482891,-2.01961,7.54217,8.13171,-4.13015,-3.12157,8.63126,9.58142,0.123932,0.0921832,2.0752,-0.808961,-0.417349,-0.892837,0.198873,0.517497,-0.559614,-29.9153,10.3872,-1.37992,18.4594,-70.7764,10.9204,-46.8679,3.18564,26.738
268.74,0.0302331,0.0133934,2,6,1,-257.14,0.142993,0.482891,-2.01961,7.54217,8.13171,-4.13015,-3.12157,8.63126,9.58142,-0.0376272,-1.21554,-1.2223,2.74423,0.736757,-2.28231,-1.42696,2.08471,0.7496,-29.9153,10.3872,-1.37992,18.4594,-70.7764,10.9204,-46.8679,3.18564,26.738
269.253,0.978378,0.00265706,5,63,0,-266.253,0.163512,0.439034,-2.0011,7.54336,8.16718,-4.14913,-3.10732,8.66144,9.57195,-0.0928886,1.06244,-0.341638,0.0161856,-1.50386,0.441734,-0.558244,-1.08181,0.898522,62.4838,-2.86886,8.07528,-20.7902,9.29426,-10.494,68.6202,-36.9186,-163.228
265.154,0.930284,0.00407409,6,127,0,-263.175,0.0882115,0.562737,-1.99771,7.54351,8.18246,-4.15271,-3.11299,8.46751,9.56888,0.846285,-0.213144,1.28825,-0.523234,0.30933,0.195422,-0.754367,0.334243,-0.669916,71.7454,16.9687,6.64407,-23.2136,11.6457,-10.3341,12.7383,-40.1593,-323.395
