# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=1
# iter=100
# warmup=50
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle.csv
# diagnostic_file=stan_diagnostics/LV_vehicle.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
460.724,0.996804,0.00265491,6,63,0,-454.951,0.0221114,-0.0889179,-2.51542,7.74993,8.24803,-3.49747,-3.26835,9.49342,9.56564,-0.754052,1.19967,0.379414,1.48529,0.508602,-1.306,0.438859,2.08815,-0.818122,-120.982,25.701,-3.60684,41.4901,22.3872,58.5224,-39.8074,89.9855,-71.964
460.718,0.978945,0.00453034,5,31,0,-457.994,0.0437857,-0.075332,-2.54364,7.74893,8.24316,-3.46675,-3.27258,9.4891,9.58325,-0.901747,-0.707712,0.414974,1.21834,1.41793,0.0591556,-0.260464,0.407619,0.479687,-26.2343,-7.01929,-14.9388,38.331,4.89379,55.084,-33.2692,21.0161,41.4159
459.075,0.948062,0.00734887,3,15,0,-456.409,0.00637713,-0.0703264,-2.51138,7.74704,8.25526,-3.47402,-3.28693,9.44257,9.59175,-1.1418,-0.208971,0.994832,-1.02271,-0.249751,-0.946696,0.72698,-0.65204,-0.192451,-44.2677,-19.0006,0.00856639,27.6661,51.372,52.0214,-35.5857,-6.29144,92.0441
458.885,0.573445,0.0109972,3,7,0,-456.7,0.00404637,-0.0623723,-2.50991,7.7353,8.25006,-3.4881,-3.29399,9.46258,9.58841,0.101898,-0.541559,-0.0919777,0.0111033,0.667189,0.623186,-0.16882,-1.17387,1.34804,-102.038,50.0395,-1.8697,-26.1085,1.9175,49.4366,-87.1046,49.5058,-21.3692
460.509,0.903025,0.00672692,4,31,0,-456.061,0.0461263,-0.0378128,-2.50036,7.75048,8.23808,-3.46664,-3.24696,9.48534,9.58693,-1.80059,0.07024,-0.191687,-0.408077,0.118845,0.454433,-2.1307,-0.161075,0.812223,37.4353,72.5881,4.26289,23.9694,-11.7909,22.0185,-35.8824,-26.6582,-59.6452
457.068,0.768086,0.0069206,3,7,0,-455.195,0.046837,-0.0415217,-2.48173,7.753,8.25263,-3.43466,-3.22818,9.4719,9.59055,1.00765,0.20022,-0.799326,0.244459,0.0484833,-1.18665,-0.565485,-0.222566,0.459159,-55.6471,-10.5156,12.6194,87.8063,87.3058,134.855,46.3546,25.3573,78.1343
457.068,0.978723,0.0069206,4,15,0,-452.011,0.0376504,-0.0595045,-2.46629,7.75016,8.24799,-3.54047,-3.27212,9.53786,9.594,0.474337,-1.16874,-0.0899692,0.864988,1.34983,-1.36877,0.945509,-0.204588,-1.77022,29.4122,-7.1079,15.4402,-42.9149,29.8667,-98.4684,-23.5929,30.6208,85.1309
455.014,0.929871,0.0069206,4,15,0,-452.108,0.0304894,-0.0326772,-2.46073,7.77929,8.26338,-3.53098,-3.28734,9.50898,9.59607,0.30966,0.613379,0.129552,0.401655,0.219802,0.570664,-0.0116645,-2.17346,0.251735,-8.7841,86.4987,12.4255,106.614,55.3503,-36.2758,-81.1555,26.6164,-44.2924
459.552,0.974873,0.0069206,3,15,0,-452.699,0.0309298,-0.0791244,-2.50236,7.72538,8.21739,-3.45808,-3.22309,9.47868,9.57312,-0.274934,-0.806881,-1.1825,-1.29355,-0.712876,1.69459,1.53168,-0.557569,-1.96752,-73.2962,-34.2509,3.57276,-53.9926,-58.2753,77.8941,30.6202,44.9135,42.3859
459.899,0.948583,0.0069206,4,15,0,-457.79,0.00496969,-0.086776,-2.52901,7.75862,8.256,-3.50608,-3.28162,9.4527,9.57417,-1.38802,0.119491,-0.333819,-0.256537,-0.518806,-0.829885,-0.64413,0.848066,-0.0914429,44.0435,6.31023,-9.30608,31.2044,53.3787,-41.5604,-42.251,-54.811,-12.705
458.67,0.720699,0.0069206,4,15,0,-454.718,0.0267919,-0.101645,-2.49418,7.72695,8.21741,-3.47391,-3.22062,9.47847,9.57098,-1.91324,-0.0686533,-1.0083,0.357407,0.42213,-0.158803,-1.68624,-0.0699756,0.209741,-18.2693,-109.44,4.33588,-73.4672,-36.985,22.4186,70.6669,7.20491,143.046
458.06,0.979625,0.0069206,3,15,0,-455.863,0.0329935,-0.0936177,-2.49196,7.78233,8.24944,-3.49712,-3.24198,9.47795,9.55437,-0.425298,-0.114783,-0.0219386,-0.29354,0.578599,-0.76507,-0.815048,0.554752,1.49006,35.3192,18.4401,2.96971,145.546,54.8499,-1.98091,7.05932,-31.2965,-101.175
460.656,0.908588,0.0069206,3,15,0,-455.075,0.020878,-0.0749358,-2.5101,7.73009,8.23476,-3.46385,-3.24792,9.47097,9.57475,-0.397617,1.55975,-0.677325,-2.25214,-1.22433,0.752183,-0.770239,-0.0984589,-0.609721,-114.896,2.0251,0.850147,-26.3089,-13.0591,93.8159,-9.67211,66.1559,-4.11998
459.424,0.921179,0.0069206,4,15,0,-455.684,0.0226672,-0.0539522,-2.4987,7.74119,8.24748,-3.47576,-3.24995,9.45333,9.5971,0.355513,-1.83346,-0.788583,-1.12079,-0.608725,0.76378,0.312696,0.795466,-0.654497,122.637,-47.8031,5.70083,-47.2938,57.7948,-44.2392,27.1656,-107.264,159.136
