# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_3.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_3.csv
# append_samples=0lp_lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
281.929,0.157389,0.0160967,2,3,0,-278.725,-3.24397,9.58185,-2.39854,7.43755,0.570976,1.71007,-0.124009,-1.77244,136.041,160.827,24.0829,101.519
282.934,0.996122,0.00473844,5,39,0,-281.21,-3.29531,9.57026,-2.5449,7.4531,-0.0486801,-1.20299,0.8102,-1.15798,-141.393,-172.76,-21.9017,-65.6768
282.396,0.666658,0.00718502,2,3,0,-278.07,-3.28013,9.60204,-2.52408,7.45215,-1.36004,-1.19841,1.15128,-2.01032,132.299,223.806,-11.3404,96.5167
284.075,1,0.00574178,5,31,0,-281.519,-3.26595,9.5829,-2.4171,7.43695,-0.0699729,2.04352,0.210873,0.941429,25.9208,77.6625,22.6547,-2.45895
284.272,1,0.00872787,2,3,0,-284.064,-3.26695,9.57881,-2.41663,7.43483,-0.0824056,-0.628829,-0.0440797,-0.109567,-7.22317,36.7352,22.5432,-30.7795
284.052,0.781488,0.0132148,4,15,0,-283.386,-3.26844,9.57631,-2.4128,7.43171,0.195895,1.09287,0.158882,-0.270408,-40.6892,5.13499,22.9126,-65.2033
283.181,0.780513,0.0131423,3,15,0,-281.228,-3.24044,9.56358,-2.50498,7.406,0.0431633,0.736947,-1.75516,-0.529641,-81.3,-49.0995,-10.1849,-169.915
285.032,0.657729,0.013045,2,7,0,-281.575,-3.27301,9.57853,-2.5192,7.43731,-1.9491,-1.04389,-0.416576,1.36025,-35.5883,-1.2071,-8.47599,-52.8746
283.976,0.881882,0.0102675,2,7,0,-283.175,-3.28383,9.57092,-2.50223,7.46485,0.376175,-0.381744,-0.896971,-0.714594,15.1209,-61.1614,-6.13602,110.555
283.754,0.750832,0.0123433,4,15,0,-281.61,-3.26179,9.56724,-2.39347,7.43281,-0.35837,0.0651508,-0.647929,1.93246,-36.2918,-32.7772,27.0952,-40.6025
284.523,0.983604,0.0115897,4,15,0,-281.67,-3.23604,9.55821,-2.49095,7.41798,-1.78312,0.280439,-1.28343,0.895164,-9.58556,-49.6228,-3.77957,-50.8669
284.361,0.310094,0.0168028,2,7,0,-282.046,-3.25378,9.57199,-2.4316,7.44115,-1.209,0.77534,1.58725,-0.2189,66.9066,48.9257,16.9441,67.7132
284.635,0.99578,0.00695385,3,7,0,-284.191,-3.26022,9.56881,-2.43163,7.44303,0.801944,0.375245,0.120089,0.298761,27.0347,-1.50797,17.0243,43.8457
284.395,0.696676,0.0102987,2,7,0,-282.773,-3.25004,9.56238,-2.44494,7.44246,-0.568162,-0.666769,-0.760841,-1.3781,54.21,-14.9054,11.3487,78.9824
284.279,0.983102,0.00876433,4,23,0,-283.306,-3.2576,9.55786,-2.52099,7.44136,0.414173,-0.00672474,0.798861,-1.06552,-15.9955,-115.121,-13.6323,26.4345
282.868,0.323533,0.0126251,2,3,0,-280.902,-3.26311,9.5815,-2.51651,7.41464,-0.129156,-1.70436,-0.428582,0.909693,-89.6125,26.7409,-11.6525,-191.182
280.749,0.983767,0.0054379,3,15,0,-279.4,-3.23109,9.55358,-2.57716,7.44155,0.369483,0.695189,1.38571,0.399586,153.917,-36.2513,-39.0599,193.244
282.14,0.755173,0.501302,3,7,0,-280.065,-3.3106,9.58495,-2.37927,7.46361,12.1379,-16.3822,-0.252102,80.8923,-73.3874,-38.8291,31.4441,-15.3907
282.14,0,4.62065,0,1,1,-281.422,-3.3106,9.58495,-2.37927,7.46361,8.34655,22.7174,14.8658,-18.6871,-73.3874,-38.8291,31.4441,-15.3907
282.14,0.000388236,0.684384,2,3,0,-280.279,-3.3106,9.58495,-2.37927,7.46361,44.5512,9.00991,-19.3179,16.0347,-73.3874,-38.8291,31.4441,-15.3907
282.345,0.999863,0.0626692,6,63,0,-281.255,-3.26701,9.57027,-2.60311,7.45312,27.673,-50.9928,8.30086,-17.0935,64.503,-29.1135,-41.4552,124.013
283.263,0.999945,0.080837,4,15,0,-282.115,-3.2799,9.57196,-2.58864,7.44648,-15.935,32.7572,16.7867,-26.4946,-70.3793,-102.267,-34.851,-30.9008
283.93,0.9931,0.122612,4,31,0,-281.892,-3.28906,9.59403,-2.55865,7.44893,-40.4086,13.3991,21.2874,-27.7648,10.2437,90.2957,-20.5435,-6.73687
281.626,0.893507,0.200368,3,7,0,-280.317,-3.2932,9.60606,-2.57616,7.4413,36.3346,51.7854,-6.96882,15.2078,2.25193,171.968,-28.7053,-80.6675
280.927,0.918807,0.25412,3,7,0,-280.075,-3.28323,9.6085,-2.56474,7.44439,-26.9272,7.82519,-13.5876,-17.3101,109.669,263.721,-26.0701,23.9227
283.497,1,0.358666,2,3,0,-280.576,-3.28121,9.59734,-2.54445,7.4461,-5.94611,-112.197,15.876,3.71581,65.9883,160.904,-16.4155,24.0069
284.313,0.201137,0.665952,3,7,0,-283.539,-3.2946,9.59018,-2.51205,7.44436,-3.96258,33.2194,-13.0316,-25.1782,-74.806,13.128,-5.71923,-88.7701
282.502,0.996368,0.0999475,4,15,0,-282.042,-3.27785,9.56841,-2.56076,7.46583,-11.4719,44.8275,2.72569,4.46277,51.9851,-68.2865,-27.9489,164.624
283.714,1,0.186672,4,15,0,-280.561,-3.30794,9.59421,-2.43878,7.45725,-7.58957,-101.426,22.5656,17.6514,-56.9411,19.7231,17.0919,-35.1569
283.267,0.99184,0.353928,4,15,0,-282.538,-3.30634,9.58972,-2.57726,7.46186,35.4417,-7.8163,-2.9639,-17.8712,-59.1798,-25.1549,-28.3011,-1.69895
283.317,0.685131,0.653458,2,3,0,-282.482,-3.29178,9.59756,-2.56647,7.44541,-26.9882,1.01918,-11.5111,25.5687,-11.5604,101.627,-23.6757,-50.7679
282.598,0.996152,0.461876,2,3,0,-282.025,-3.29282,9.59454,-2.60387,7.44966,-0.01854,-34.7848,-9.88994,21.1493,-9.99704,74.7435,-37.3594,-24.971
282.598,0.0112878,0.860995,1,3,0,-280.564,-3.29282,9.59454,-2.60387,7.44966,-17.7226,-70.0469,19.0111,24.3412,-9.99704,74.7435,-37.3594,-24.971
281.207,0.994704,0.0769754,5,31,0,-279.667,-3.31002,9.6081,-2.60463,7.46182,-46.7228,-7.61313,13.9614,13.5935,27.7792,148.114,-37.9547,24.7913
282.088,0.997786,0.14389,3,7,0,-280.815,-3.31356,9.60597,-2.58476,7.45842,9.90906,35.2913,-20.4594,16.1406,-37.3929,91.1684,-30.3324,-41.9647
282.939,0.999932,0.269341,4,15,0,-280.343,-3.28444,9.58489,-2.60751,7.4518,-37.1492,93.9942,-9.53937,17.0182,9.89219,25.2816,-39.3778,29.9259
282.939,0.304465,0.502937,2,3,0,-281.973,-3.28444,9.58489,-2.60751,7.4518,26.8308,55.2583,-1.12836,-12.7214,9.89219,25.2816,-39.3778,29.9259
281.609,0.985454,0.116976,5,31,0,-281.071,-3.30958,9.58247,-2.3659,7.46114,-9.65264,49.0937,-1.772,11.2361,-87.1232,-53.4385,34.2289,-31.5874
284.38,0.995594,0.208862,3,15,0,-279.22,-3.24595,9.5597,-2.52856,7.43637,25.8074,-28.9835,-31.8435,-90.8814,41.4237,-51.4425,-15.6092,55.5229
284.962,0.995852,0.380667,3,7,0,-283.916,-3.27998,9.57485,-2.45903,7.44915,24.256,35.8646,-6.23761,-38.3515,-27.4332,-31.4408,9.97387,4.24254
281.337,0.217076,0.687539,2,3,0,-279.133,-3.273,9.59584,-2.57583,7.42306,21.6237,34.3807,-28.1656,-8.92501,-32.1415,138.046,-31.0614,-158.877
282.347,0.992077,0.130352,4,15,0,-279.394,-3.2781,9.57805,-2.59092,7.4625,4.3013,66.9806,-16.8359,-70.5838,88.8318,19.5099,-36.326,164.923
284.073,1,0.232803,3,15,0,-281.671,-3.28293,9.59207,-2.46,7.43683,31.2405,22.6967,28.7513,10.0037,-29.0297,75.8194,10.5178,-74.6097
285.041,0.91267,0.421119,3,7,0,-283.213,-3.26692,9.5723,-2.52056,7.44612,-31.5203,57.9361,14.4348,-30.0193,24.4703,-9.48952,-9.78324,48.1122
285.041,0.00227534,0.590171,2,5,0,-282.41,-3.26692,9.5723,-2.52056,7.44612,19.7999,114.404,-0.844988,0.859689,24.4703,-9.48952,-9.78324,48.1122
285.042,0.997622,0.0651585,3,15,0,-284.535,-3.27094,9.57138,-2.51913,7.44025,-13.2466,-4.22333,2.49371,-36.8702,-41.66,-52.8391,-9.5139,-30.8195
285.069,0.998714,0.116633,5,31,0,-284.685,-3.26081,9.57104,-2.49726,7.42985,9.5978,16.8068,-11.3902,3.57943,-36.4169,-23.6522,-2.68108,-62.2319
