rank,j,y_rep_mean,y_rep,.lower,.upper,.width,.point,.interval,cell_type,well,agg_count
32,2,8128.2264381441255,8032.9406824562575,5499.49377762282,11240.719965351549,0.95,mhd,mhd,LCC9,1,NA
32,2,8128.2264381441255,8032.9406824562575,5499.49377762282,11240.719965351549,0.95,mhd,mhd,LCC9,2,NA
33,1,4819.622845873415,4676.2732705256485,3523.25381711501,6641.244512414721,0.95,mhd,mhd,LCC1,1,NA
33,1,4819.622845873415,4676.2732705256485,3523.25381711501,6641.244512414721,0.95,mhd,mhd,LCC1,2,NA
33,2,8278.611897244165,8666.910446091595,5903.088016538522,11384.897435329596,0.95,mhd,mhd,LCC9,1,NA
33,2,8278.611897244165,8666.910446091595,5903.088016538522,11384.897435329596,0.95,mhd,mhd,LCC9,2,NA
34,1,4901.890239798486,5637.228353556427,3395.5424731905077,6748.741688706063,0.95,mhd,mhd,LCC1,1,NA
34,1,4901.890239798486,5637.228353556427,3395.5424731905077,6748.741688706063,0.95,mhd,mhd,LCC1,2,NA
34,2,8424.250096979209,7136.5354614088365,5927.994055948886,11627.758709947711,0.95,mhd,mhd,LCC9,1,NA
34,2,8424.250096979209,7136.5354614088365,5927.994055948886,11627.758709947711,0.95,mhd,mhd,LCC9,2,NA
35,1,4992.3473828456445,5057.694124903344,3575.54702381043,6999.767864443655,0.95,mhd,mhd,LCC1,1,NA
35,1,4992.3473828456445,5057.694124903344,3575.54702381043,6999.767864443655,0.95,mhd,mhd,LCC1,2,NA
35,2,8567.789557408843,7803.638323432495,6334.9342283281485,11707.02619999301,0.95,mhd,mhd,LCC9,1,NA
35,2,8567.789557408843,7803.638323432495,6334.9342283281485,11707.02619999301,0.95,mhd,mhd,LCC9,2,NA
36,1,5091.776705564636,5387.951039106702,3605.5175145132976,6840.267728890889,0.95,mhd,mhd,LCC1,1,NA
36,1,5091.776705564636,5387.951039106702,3605.5175145132976,6840.267728890889,0.95,mhd,mhd,LCC1,2,NA
36,2,8707.843844817742,8944.176276972039,6421.643690688022,12284.620531271956,0.95,mhd,mhd,LCC9,1,NA
36,2,8707.843844817742,8944.176276972039,6421.643690688022,12284.620531271956,0.95,mhd,mhd,LCC9,2,NA
37,1,5179.279588249568,4967.563589331017,3657.567571638295,7126.475390173217,0.95,mhd,mhd,LCC1,1,NA
37,1,5179.279588249568,4967.563589331017,3657.567571638295,7126.475390173217,0.95,mhd,mhd,LCC1,2,NA
37,2,8855.576044878782,10288.59949722571,6236.206997457199,12567.983763184062,0.95,mhd,mhd,LCC9,1,NA
37,2,8855.576044878782,10288.59949722571,6236.206997457199,12567.983763184062,0.95,mhd,mhd,LCC9,2,NA
38,1,5271.803681524278,5113.624852448193,3618.2602902424965,7476.398808698151,0.95,mhd,mhd,LCC1,1,NA
38,1,5271.803681524278,5113.624852448193,3618.2602902424965,7476.398808698151,0.95,mhd,mhd,LCC1,2,NA
38,2,9000.370394964739,9285.962843842502,6707.9615331838995,12881.349061960682,0.95,mhd,mhd,LCC9,1,NA
38,2,9000.370394964739,9285.962843842502,6707.9615331838995,12881.349061960682,0.95,mhd,mhd,LCC9,2,NA
39,1,5375.467093641403,5204.556164443311,3796.5725653483373,7956.194179779566,0.95,mhd,mhd,LCC1,1,NA
39,1,5375.467093641403,5204.556164443311,3796.5725653483373,7956.194179779566,0.95,mhd,mhd,LCC1,2,NA
39,2,9130.208720351377,10311.508095133662,6597.435421301775,12927.965671228001,0.95,mhd,mhd,LCC9,1,NA
39,2,9130.208720351377,10311.508095133662,6597.435421301775,12927.965671228001,0.95,mhd,mhd,LCC9,2,NA
40,1,5458.447979434326,5658.8325266315705,3761.436269820582,7456.198633703844,0.95,mhd,mhd,LCC1,1,NA
40,1,5458.447979434326,5658.8325266315705,3761.436269820582,7456.198633703844,0.95,mhd,mhd,LCC1,2,NA
40,2,9270.2606060323,9243.56158434084,6775.2569797110555,12872.482644039792,0.95,mhd,mhd,LCC9,1,NA
40,2,9270.2606060323,9243.56158434084,6775.2569797110555,12872.482644039792,0.95,mhd,mhd,LCC9,2,NA
41,1,5558.735624913442,5560.371522626294,3870.2624762762985,7803.456647203811,0.95,mhd,mhd,LCC1,1,NA
41,1,5558.735624913442,5560.371522626294,3870.2624762762985,7803.456647203811,0.95,mhd,mhd,LCC1,2,NA
41,2,9417.024132586592,11139.26618929538,7102.479058526707,13067.507765846196,0.95,mhd,mhd,LCC9,1,NA
41,2,9417.024132586592,11139.26618929538,7102.479058526707,13067.507765846196,0.95,mhd,mhd,LCC9,2,NA
42,1,5649.925028820571,5567.392872952725,4117.2942313876365,7931.5884558393855,0.95,mhd,mhd,LCC1,1,NA
42,1,5649.925028820571,5567.392872952725,4117.2942313876365,7931.5884558393855,0.95,mhd,mhd,LCC1,2,NA
42,2,9544.298282407706,9583.61409588357,6273.410961136784,13527.408961107965,0.95,mhd,mhd,LCC9,1,NA
